iter	Passed	Remaining
0	142	142731
1	143	71736
2	144	48110
3	145	36260
4	146	29148
5	147	24396
6	148	20999
7	148	18446
8	149	16454
9	150	14867
10	150	13558
11	151	12468
12	151	11540
13	152	10745
14	153	10055
15	153	9451
16	154	8920
17	154	8445
18	155	8021
19	156	7645
20	156	7300
21	157	6986
22	157	6699
23	158	6435
24	158	6193
25	159	5969
26	159	5760
27	160	5568
28	160	5388
29	161	5223
30	162	5073
31	162	4928
32	163	4793
33	164	4663
34	164	4540
35	165	4425
36	165	4315
37	166	4211
38	166	4112
39	167	4020
40	168	3946
41	169	3865
42	170	3785
43	170	3708
44	171	3634
45	171	3563
46	172	3495
47	172	3430
48	173	3369
49	174	3311
50	174	3255
51	175	3200
52	176	3146
53	176	3094
54	177	3045
55	177	2997
56	178	2950
57	178	2905
58	179	2862
59	180	2822
60	180	2782
61	181	2743
62	182	2706
63	182	2673
64	183	2639
65	184	2605
66	184	2574
67	185	2542
68	186	2513
69	186	2482
70	187	2454
71	188	2426
72	188	2399
73	189	2371
74	190	2345
75	190	2320
76	191	2294
77	192	2270
78	192	2247
79	193	2223
80	193	2200
81	194	2178
82	194	2152
83	195	2131
84	195	2109
85	196	2088
86	197	2068
87	197	2048
88	198	2030
89	199	2013
90	199	1995
91	200	1977
92	200	1959
93	201	1942
94	202	1924
95	202	1907
96	203	1890
97	203	1874
98	204	1859
99	204	1844
100	205	1829
101	206	1814
102	206	1800
103	207	1785
104	207	1771
105	208	1757
106	208	1743
107	209	1730
108	210	1716
109	210	1705
110	211	1692
111	211	1680
112	212	1667
113	213	1655
114	213	1643
115	214	1632
116	214	1619
117	215	1608
118	215	1596
119	216	1585
120	216	1575
121	217	1564
122	218	1554
123	218	1544
124	219	1533
125	219	1523
126	220	1513
127	220	1503
128	221	1494
129	221	1484
130	222	1475
131	223	1467
132	223	1458
133	224	1449
134	224	1440
135	225	1431
136	225	1423
137	226	1415
138	227	1406
139	227	1398
140	228	1390
141	228	1381
142	229	1373
143	229	1366
144	230	1358
145	230	1351
146	231	1343
147	232	1336
148	232	1328
149	233	1321
150	233	1314
151	234	1308
152	235	1302
153	235	1296
154	236	1289
155	237	1282
156	237	1276
157	238	1269
158	238	1263
159	239	1256
160	239	1249
161	240	1243
162	240	1236
163	241	1231
164	242	1225
165	242	1220
166	243	1214
167	244	1209
168	244	1203
169	245	1198
170	246	1193
171	246	1188
172	247	1184
173	248	1178
174	249	1174
175	249	1169
176	250	1164
177	251	1159
178	251	1155
179	252	1149
180	253	1145
181	253	1140
182	254	1135
183	255	1131
184	255	1126
185	256	1121
186	256	1116
187	257	1111
188	257	1106
189	258	1101
190	258	1096
191	259	1092
192	260	1088
193	260	1084
194	261	1080
195	262	1076
196	262	1071
197	263	1067
198	264	1062
199	264	1058
200	265	1054
201	265	1050
202	266	1046
203	267	1041
204	267	1037
205	268	1033
206	268	1029
207	269	1025
208	269	1021
209	270	1017
210	270	1013
211	271	1009
212	272	1006
213	272	1002
214	273	998
215	274	995
216	274	991
217	275	988
218	276	984
219	276	981
220	277	977
221	278	974
222	278	971
223	279	968
224	280	964
225	280	961
226	281	958
227	282	954
228	282	951
229	283	948
230	284	946
231	284	943
232	285	940
233	286	937
234	286	934
235	287	931
236	288	928
237	288	924
238	289	921
239	289	918
240	290	915
241	291	912
242	292	909
243	292	906
244	293	903
245	293	900
246	294	897
247	295	895
248	295	892
249	296	889
250	297	887
251	297	884
252	298	881
253	299	878
254	299	876
255	300	873
256	301	870
257	301	867
258	302	864
259	302	862
260	303	859
261	304	856
262	304	854
263	305	851
264	305	848
265	306	845
266	306	842
267	307	840
268	308	837
269	308	834
270	309	832
271	310	829
272	310	827
273	311	824
274	311	821
275	312	819
276	313	817
277	313	814
278	314	812
279	314	809
280	315	807
281	316	804
282	316	802
283	317	800
284	318	798
285	318	796
286	319	794
287	320	791
288	320	789
289	321	787
290	322	785
291	323	783
292	324	781
293	324	779
294	325	777
295	326	775
296	326	773
297	327	771
298	328	769
299	328	767
300	329	765
301	330	762
302	330	760
303	331	758
304	331	756
305	332	753
306	332	751
307	333	749
308	334	747
309	335	745
310	335	743
311	336	741
312	336	739
313	337	736
314	337	734
315	338	732
316	338	730
317	339	728
318	340	726
319	340	724
320	341	722
321	342	720
322	342	717
323	343	715
324	343	713
325	344	711
326	344	709
327	345	707
328	345	705
329	346	703
330	347	701
331	347	699
332	348	697
333	348	695
